t com min rx ry rz
3.26 -0.224472 -1.752887 303.9727 344.0016 16.64289
3.28 -0.268379 -1.797789 303.7634 344.0041 16.56955
3.3 -0.3063644 -1.836956 303.5146 344.0588 16.4666
3.32 -0.3389744 -1.870493 303.2518 343.9556 16.51186
3.34 -0.3650832 -1.897537 302.988 343.8803 16.53745
3.36 -0.3853302 -1.918424 302.7859 343.7872 16.58719
3.38 -0.3981244 -1.932024 302.5764 343.7653 16.5504
3.4 -0.4070628 -1.941709 302.3506 343.6728 16.56463
3.42 -0.4103921 -1.94525 302.1836 343.4059 16.75338
3.44 -0.4082778 -1.943558 302.013 343.2915 16.82661
3.46 -0.4010934 -1.936461 301.8853 343.0887 17.00064
3.48 -0.3875781 -1.92296 301.7737 342.8657 17.18301
3.5 -0.3691363 -1.904334 301.708 342.6162 17.38989
3.52 -0.3446486 -1.879842 301.6585 342.4065 17.55855
3.54 -0.315012 -1.851244 301.5801 342.324 17.59755
3.56 -0.2804107 -1.81791 301.4845 342.265 17.637
3.58 -0.2414103 -1.78039 301.3727 342.2 17.6732
3.6 -0.1984974 -1.738584 301.2859 342.0607 17.78973
3.62 -0.1518088 -1.692886 301.2087 341.9409 17.87533
3.64 -0.1027549 -1.644495 301.1532 341.7312 18.04356
3.66 -0.05045252 -1.593027 301.0856 341.5549 18.18227
3.68 0.003797323 -1.539076 301.0568 341.3121 18.37071
3.7 0.06055108 -1.482262 301.0551 341.0746 18.5555
3.72 0.119229 -1.423029 301.0892 340.7848 18.78905
3.74 0.1802424 -1.360498 301.1943 340.4645 19.05876
3.76 0.2422862 -1.296305 301.3453 340.1278 19.3568
3.78 0.3044954 -1.231934 301.4964 339.794 19.65051
3.8 0.3666142 -1.167054 301.6917 339.4857 19.91539
3.82 0.428389 -1.102168 301.9135 339.2334 20.11595
3.84 0.4908918 -1.036746 302.1684 338.9526 20.33738
3.86 0.5530087 -0.9780011 302.4435 338.7302 20.50646
3.88 0.6143875 -0.9210188 302.7343 338.5515 20.62934
3.9 0.6742075 -0.8658702 303.0554 338.3756 20.75693
3.92 0.7327714 -0.8104858 303.3952 338.2505 20.81506
3.94 0.7893706 -0.7560191 303.7467 338.1674 20.82661
3.96 0.844393 -0.7020125 304.0973 338.1299 20.79284
3.98 0.8972982 -0.6497815 304.4647 338.0935 20.7442
4 0.9476483 -0.6001525 304.8505 338.0516 20.69756
4.02 0.9953892 -0.5527565 305.2477 338.0157 20.63702
4.04 1.040301 -0.5076618 305.6552 337.9948 20.55727
4.06 1.082125 -0.4647098 306.0672 338.0025 20.44317
4.08 1.120758 -0.4246662 306.488 338.0121 20.32197
4.1 1.156012 -0.3880768 306.915 338.0135 20.20878
4.12 1.187878 -0.354419 307.3427 338.0255 20.08321
4.14 1.216201 -0.3239279 307.7745 338.0445 19.94845
4.16 1.240815 -0.2967153 308.2054 338.0721 19.8033
4.18 1.2618 -0.2730153 308.6402 338.097 19.65962
4.2 1.279086 -0.2526507 309.0745 338.1286 19.50847
4.22 1.29264 -0.235656 309.5095 338.1652 19.34998
4.24 1.302433 -0.222157 309.9448 338.2043 19.18807
4.26 1.308412 -0.2123392 310.3819 338.2414 19.02749
4.28 1.31055 -0.2062049 310.8195 338.2769 18.86749
4.3 1.308852 -0.2050135 311.2584 338.311 18.70763
4.32 1.303368 -0.2080574 311.6938 338.3517 18.54095
4.34 1.294042 -0.2147973 312.1303 338.391 18.3745
4.36 1.280928 -0.2251148 312.5674 338.4319 18.20543
4.38 1.264045 -0.2390633 313.0052 338.4718 18.03708
4.4 1.243426 -0.256618 313.4457 338.5095 17.86965
4.42 1.219105 -0.2776368 313.8899 338.5479 17.69831
4.44 1.191063 -0.3021665 314.337 338.5874 17.52459
4.46 1.159395 -0.330102 314.7864 338.6297 17.34817
4.48 1.124422 -0.3607941 315.2345 338.6881 17.15489
4.5 1.086195 -0.394558 315.6905 338.7444 16.96107
4.52 1.04464 -0.4311192 316.1469 338.8163 16.75187
4.54 1.000186 -0.4701796 316.6131 338.8953 16.53356
4.56 0.9530734 -0.5111732 317.0892 338.9933 16.29313
4.58 0.9036268 -0.5537012 317.5744 339.1076 16.02839
4.6 0.8518762 -0.5979283 318.0698 339.2305 15.74852
4.62 0.7986427 -0.642777 318.5611 339.3681 15.4427
4.64 0.7439862 -0.6881716 319.0375 339.5284 15.10987
4.66 0.6879854 -0.7343407 319.4892 339.7041 14.76139
4.68 0.6309353 -0.7813725 319.9025 339.8803 14.41024
4.7 0.5734653 -0.8330078 320.3117 340.0683 14.02986
4.72 0.5164369 -0.8867037 320.6841 340.2842 13.60822
4.74 0.4608254 -0.939115 321.0411 340.5135 13.17212
4.76 0.4058259 -0.9910207 321.3824 340.7414 12.73836
4.78 0.3521066 -1.04209 321.6811 340.9526 12.30069
4.8 0.3004288 -1.091712 321.9258 341.1705 11.85907
4.82 0.2506745 -1.139662 322.146 341.3874 11.41428
4.84 0.2034581 -1.185719 322.3091 341.5917 10.97034
4.86 0.1596796 -1.228448 322.4526 341.7287 10.57742
4.88 0.1189032 -1.268847 322.5399 341.9056 10.17599
4.9 0.08198687 -1.305962 322.5812 342.1228 9.748541
4.92 0.04820992 -1.340432 322.5781 342.3465 9.333348
4.94 0.01823044 -1.371443 322.5436 342.5503 8.928246
4.96 -0.009137571 -1.399754 322.5114 342.7345 8.54755
4.98 -0.03350034 -1.425511 322.4405 342.9375 8.161428
5 -0.05347541 -1.447082 322.3535 343.1535 7.749188
