t com min rx ry rz
2.76 1.11362 -0.3405881 328.171 0.001661337 -0.001741465
2.78 1.103522 -0.3778117 328.9841 0.001741916 -0.001850198
2.8 1.094114 -0.4073064 329.592 0.001826559 -0.00196755
2.82 1.085679 -0.4285595 329.9827 0.00191671 -0.002095426
2.84 1.078442 -0.4411864 330.1476 0.002013897 -0.002235725
2.86 1.072562 -0.4449275 330.0821 0.002119873 -0.002390568
2.88 1.068133 -0.4396467 329.7856 0.00223625 -0.002561623
2.9 1.065184 -0.4253976 329.2634 0.002364475 -0.002750195
2.92 1.063677 -0.4024625 328.5275 0.002505878 -0.002957199
2.94 1.063515 -0.371351 327.5964 0.002661733 -0.003183342
2.96 1.064544 -0.3328032 326.494 0.002833263 -0.003429204
2.98 1.066566 -0.2954147 325.2488 0.003021484 -0.003695054
3 1.069345 -0.3102138 323.8925 0.003226975 -0.003980562
3.02 1.072628 -0.3246772 322.4584 0.003450197 -0.00428543
3.04 1.076162 -0.3385255 320.9796 0.003691105 -0.004608811
3.06 1.079711 -0.3515589 319.4876 0.003949312 -0.004949628
3.08 1.083077 -0.3636539 318.0105 0.004223923 -0.00530634
3.1 1.086106 -0.3747542 316.5723 0.004513793 -0.005677324
3.12 1.0887 -0.3848557 315.192 0.004817448 359.9939
3.14 1.090813 -0.3939862 313.8837 0.005133235 359.9935
3.16 1.092456 -0.4021857 312.6566 0.005459588 359.9931
3.18 1.093685 -0.4094949 311.5155 0.005794912 359.9927
3.2 1.094597 -0.4159405 310.4613 0.006137931 359.9923
3.22 1.095307 -0.4215367 309.4933 0.006487451 359.9919
3.24 1.095922 -0.4262927 308.6108 0.006836909 359.9915
3.26 1.096548 -0.430212 307.8133 0.00717965 359.9911
3.28 1.097277 -0.4332957 307.1001 0.007508706 359.9907
3.3 1.098192 -0.4355474 306.4709 0.00781736 359.9903
3.32 1.099362 -0.4369745 305.925 0.008099052 359.99
3.34 1.100842 -0.4375894 305.4619 0.008348035 359.9897
3.36 1.102666 -0.4374139 305.0807 0.008559222 359.9895
3.38 1.104852 -0.4364777 304.7807 0.008728624 359.9893
3.4 1.107399 -0.4348192 304.561 0.008853731 359.9891
3.42 1.110287 -0.432488 304.4203 0.008933221 359.989
3.44 1.113479 -0.4295416 304.3576 0.008967203 359.989
3.46 1.116921 -0.4260445 304.3716 0.008957397 359.989
3.48 1.120545 -0.4220705 304.4608 0.008906662 359.9891
3.5 1.124271 -0.4176953 304.6236 0.008819105 359.9892
3.52 1.128009 -0.4130018 304.8582 0.00869994 359.9893
3.54 1.131661 -0.408071 305.1624 0.008555012 359.9895
3.56 1.135126 -0.4029865 305.5338 0.008390889 359.9897
3.58 1.1383 -0.3978286 305.9699 0.008214367 359.9899
3.6 1.141079 -0.392673 306.4681 0.008032208 359.9901
3.62 1.143364 -0.3875911 307.0259 0.007847309 359.9904
3.64 1.145054 -0.3826497 307.6407 0.007661156 359.9906
3.66 1.146055 -0.3779092 308.3099 0.007475101 359.9908
3.68 1.146278 -0.373425 309.031 0.007290344 359.991
3.7 1.145639 -0.3692446 309.8015 0.007107922 359.9913
3.72 1.144062 -0.365407 310.6191 0.006928721 359.9915
3.74 1.141482 -0.3619409 311.4818 0.006753363 359.9917
3.76 1.137849 -0.358861 312.3875 0.006582448 359.9919
3.78 1.133121 -0.3561676 313.3345 0.006416454 359.9921
3.8 1.127284 -0.3538468 314.3206 0.006255841 359.9923
3.82 1.120368 -0.3518603 315.3408 0.006101381 359.9925
3.84 1.112459 -0.3501549 316.3871 0.005954013 359.9927
3.86 1.103693 -0.3486676 317.4485 0.005814963 359.9929
3.88 1.09426 -0.3473358 318.5113 0.005685549 359.993
