t com min rx ry rz
3.1 0.01509547 -0.0905475 89.82087 59.13926 40.90893
3.12 0.04093933 -0.1062943 88.25616 195.087 176.7944
3.14 0.06634535 -0.1255754 86.55145 196.5243 178.1725
3.16 0.09102401 -0.1379453 85.1191 197.2445 178.8346
3.18 0.1144388 -0.1445731 83.94576 197.7202 179.2522
3.2 0.1365093 -0.145733 83.03655 197.9897 179.4648
3.22 0.1566426 -0.143629 82.34152 198.0332 179.454
3.24 0.174785 -0.1385099 81.84767 197.9828 179.349
3.26 0.1908202 -0.1308537 81.54825 197.7807 179.0945
3.28 0.2045555 -0.120846 81.41869 197.6867 178.9484
3.3 0.215868 -0.1092223 81.45026 197.5349 178.7464
3.32 0.2243986 -0.09678435 81.59969 197.5953 178.755
3.34 0.229848 -0.08503586 81.83437 197.727 178.8348
3.36 0.2321218 -0.0743255 82.14384 197.9435 178.9995
3.38 0.2310449 -0.06532061 82.50804 198.2693 179.2732
3.4 0.2265874 -0.05837464 82.92235 198.6264 179.5785
3.42 0.2186467 -0.05377358 83.37621 199.0687 179.9688
3.44 0.2072481 -0.05319601 83.86921 199.5929 180.441
3.46 0.1924601 -0.05502182 84.40585 200.2381 181.0342
3.48 0.1743774 -0.05899966 84.99145 201.1417 181.8855
3.5 0.1529955 -0.06507263 85.61935 202.2637 182.9557
3.52 0.1287297 -0.07204968 86.3181 203.7739 184.4145
3.54 0.1019146 -0.07902279 87.10159 205.8818 186.4718
3.56 0.0734672 -0.08414023 88.00542 209.9364 190.4765
3.58 0.04470311 -0.0855764 89.01265 220.3056 200.7977
3.6 0.01777536 -0.09083684 89.64227 305.5971 286.0422
3.62 -0.005473286 -0.1387224 88.88706 4.169203 344.5687
3.64 -0.02388453 -0.1775873 88.08062 13.05595 353.4111
3.66 -0.0358715 -0.2014255 87.49814 19.46895 359.7788
3.68 -0.04149355 -0.2199418 87.12302 23.69394 3.96069
3.7 -0.04116129 -0.2259521 86.95316 25.87383 6.102546
3.72 -0.0356456 -0.2198963 86.96668 25.69978 5.89402
3.74 -0.02545886 -0.2054549 87.14913 26.85283 7.010632
3.76 -0.01119255 -0.182483 87.49939 28.73648 8.85955
3.78 0.006427786 -0.1514779 88.0116 31.52427 11.61471
3.8 0.02625945 -0.1145889 88.62428 34.42136 14.48146
3.82 0.04657162 -0.07504077 89.29224 39.79366 19.82447
3.84 0.06621978 -0.0363466 89.85735 111.2809 91.2836
3.86 0.08398139 -0.0337224 89.34658 196.9117 176.8867
3.88 0.09877256 -0.03473148 88.75652 202.7114 182.6591
3.9 0.1101962 -0.03865361 88.21996 204.6011 184.522
3.92 0.1181787 -0.04436439 87.73575 205.3345 185.229
3.94 0.122808 -0.05165055 87.31132 205.6786 185.5469
3.96 0.1241579 -0.06020265 86.95168 205.6604 185.5031
3.98 0.1224271 -0.06939438 86.67004 205.3313 185.1492
4 0.1179168 -0.07872909 86.48982 205.2143 185.0081
4.02 0.1109053 -0.08734649 86.4262 205.0899 184.8599
4.04 0.1015884 -0.09522921 86.48492 205.3002 185.0461
4.06 0.09055846 -0.1004587 86.69909 205.4156 185.1387
4.08 0.07815773 -0.1027237 87.07887 205.8476 185.548
4.1 0.06496122 -0.1004408 87.63421 205.6541 185.3329
4.12 0.05142666 -0.09481189 88.33082 205.8275 185.4858
4.14 0.03813296 -0.08710665 89.10453 207.646 187.2847
4.16 0.02616507 -0.07726021 89.89532 20.32222 0
4.18 0.01623054 -0.1014429 89.32798 20.82842 0.4297172
4.2 0.00875821 -0.1274591 88.65754 23.21567 2.798294
4.22 0.004387625 -0.1469207 88.12341 24.58068 4.143668
4.24 0.003104497 -0.1583667 87.74841 24.48866 4.032204
4.26 0.004834454 -0.1615603 87.56361 24.33387 3.857645
4.28 0.009070253 -0.1575219 87.53701 23.5806 3.087395
4.3 0.01591082 -0.1451826 87.72479 22.92964 2.419437
4.32 0.02479535 -0.1255144 88.09649 21.46614 0.938444
4.34 0.03480536 -0.1033557 88.57413 18.51533 357.9705
4.36 0.04530621 -0.07836683 89.15028 14.56347 354.0029
4.38 0.05557323 -0.052588 89.74131 350.5523 329.9762
4.4 0.06497575 -0.04766977 89.58931 222.073 201.4822
4.42 0.07274979 -0.05505043 89.03957 211.2938 190.688
4.44 0.07853465 -0.062194 88.56483 208.8183 188.1979
4.46 0.08212768 -0.06839433 88.19746 207.4148 186.78
4.48 0.08352123 -0.07378823 87.94509 206.9001 186.2508
4.5 0.08295 -0.07758743 87.8258 206.7397 186.076
4.52 0.08046374 -0.07969169 87.83762 206.6539 185.9762
4.54 0.07625143 -0.08003473 87.98569 207.15 186.4591
4.56 0.07041632 -0.0787105 88.261 208.3824 187.6783
4.58 0.06322043 -0.07560195 88.64261 209.8556 189.1391
4.6 0.05523348 -0.0707759 89.10693 212.208 191.4794
4.62 0.04705029 -0.06447035 89.61742 217.4184 196.6782
4.64 0.03910935 -0.06515722 89.85463 8.280189 347.5291
4.66 0.03230577 -0.08420524 89.40095 25.60125 4.839655
4.68 0.02690713 -0.1002615 89.04202 28.8737 8.102007
4.7 0.02320314 -0.1123951 88.77013 31.4785 10.69551
4.72 0.02126313 -0.1196199 88.6052 33.28349 12.48898
4.74 0.0212085 -0.1214312 88.55369 34.16069 13.35505
4.76 0.02276772 -0.1185135 88.6152 35.94024 15.12407
4.78 0.02577998 -0.1116689 88.76031 38.35889 17.53302
4.8 0.02999339 -0.1009494 88.99206 41.92462 21.08931
4.82 0.03517938 -0.08817683 89.25454 49.28781 28.44385
4.84 0.04103006 -0.07319203 89.54201 63.85425 43.00178
4.86 0.04702571 -0.05721009 89.77101 108.9078 88.04762
4.88 0.05289296 -0.05795384 89.65226 176.5067 155.6382
4.9 0.05810471 -0.05925944 89.37162 195.7543 174.878
4.92 0.06224759 -0.06108067 89.11685 201.6667 180.783
4.94 0.06506807 -0.06426629 88.92062 204.3387 183.4482
4.96 0.06638794 -0.06676173 88.80189 206.2253 185.3285
4.98 0.06618534 -0.06804621 88.77779 207.5406 186.6374
5 0.06458738 -0.06755799 88.85945 208.244 187.3351
