t com min rx ry rz
3.3 4.34087 3.276155 50.57159 349.9243 3.28241
3.32 4.304719 3.193213 49.4389 352.0089 5.740257
3.34 4.264645 3.107621 48.25237 353.9691 8.076112
3.36 4.220646 3.019428 47.01678 355.81 10.29544
3.38 4.172723 2.928684 45.7365 357.5375 12.40418
3.4 4.120877 2.83543 44.41563 359.1574 14.40854
3.42 4.065106 2.739713 43.05786 0.6758468 16.31482
3.44 4.005411 2.641573 41.66659 2.098779 18.12926
3.46 3.941792 2.541051 40.24491 3.43202 19.85795
3.48 3.87425 2.438183 38.79564 4.681159 21.50676
3.5 3.802783 2.333006 37.32132 5.851521 23.08131
3.52 3.727393 2.225554 35.82428 6.948125 24.58692
3.54 3.648078 2.115856 34.30661 7.975682 26.0286
3.56 3.564839 2.003945 32.77021 8.938586 27.41109
3.58 3.477677 1.889846 31.21682 9.840911 28.73878
3.6 3.38659 1.773585 29.64802 10.68644 30.01584
3.62 3.291579 1.655187 28.06522 11.47865 31.24609
3.64 3.192645 1.53467 26.46974 12.22076 32.43315
3.66 3.089786 1.412055 24.86277 12.91572 33.58038
3.68 2.983004 1.287358 23.24539 13.56622 34.69088
3.7 2.872297 1.160593 21.6186 14.17473 35.76759
3.72 2.757666 1.031773 19.98331 14.74352 36.81326
3.74 2.639112 0.9009099 18.34037 15.27464 37.83041
3.76 2.516633 0.7680087 16.69053 15.76995 38.82146
3.78 2.39023 0.6330776 15.03452 16.23116 39.78865
3.8 2.259904 0.4961195 13.373 16.6598 40.73411
3.82 2.125653 0.3571367 11.70659 17.05724 41.65985
3.84 1.987479 0.2161274 10.03586 17.42472 42.56776
3.86 1.84538 0.07309127 8.361339 17.76334 43.45966
3.88 1.699358 -0.07197857 6.683537 18.07407 44.33726
3.9 1.549411 -0.2190883 5.002931 18.35778 45.20223
3.92 1.395699 -0.3680742 3.327508 18.61384 46.05791
3.94 1.238547 -0.5185606 1.651233 18.84343 46.91639
3.96 1.078372 -0.6701055 0.01719031 19.04145 47.79188
3.98 0.9155592 -0.8279991 358.4315 19.19599 48.67462
4 0.7509862 -0.9856179 356.9326 19.32355 49.59785
4.02 0.5856533 -1.141537 355.3287 19.443 50.60593
4.04 0.4204426 -1.294641 353.6403 19.54474 51.68848
4.06 0.2553929 -1.445131 352.0609 19.54989 52.8382
4.08 0.09205122 -1.590058 350.279 19.48283 54.11068
4.1 -0.06866084 -1.726835 348.0983 19.29057 55.51782
4.12 -0.2250801 -1.851826 345.4134 18.92741 57.05831
4.14 -0.3775855 -1.967516 342.6982 18.67365 58.67031
4.16 -0.5258573 -2.0739 340.1773 18.18222 60.46418
4.18 -0.6681579 -2.168239 337.5526 17.56826 62.36043
4.2 -0.8061906 -2.255763 335.3835 16.50085 64.48046
4.22 -0.9368166 -2.328945 332.8806 15.50387 66.63544
4.24 -1.061996 -2.392989 330.6616 14.17166 69.02842
4.26 -1.178459 -2.442918 328.4526 12.53271 71.59993
4.28 -1.290098 -2.492 326.4792 11.37623 73.96491
4.3 -1.395751 -2.523044 324.4258 9.331445 76.87738
4.32 -1.492176 -2.542532 322.5833 7.126304 79.9697
4.34 -1.583005 -2.545133 320.7468 4.124272 83.60825
4.36 -1.668714 -2.54291 319.4955 0.7605008 87.507
4.38 -1.752425 -2.595327 318.8109 357.6552 91.25317
