t n fps
1.941602 20 329
1.945006 20 321
1.94795 20 325
1.951005 20 325
1.953706 20 333
1.956684 20 334
1.959527 20 337
1.962335 20 340
1.965719 20 330
1.968504 20 336
1.971323 20 339
1.974335 20 338
1.977177 20 340
1.980122 20 340
1.985194 20 297
1.990089 20 272
1.99293 20 285
1.996011 20 292
1.998989 20 300
2.001682 20 312
2.005313 20 304
2.007995 20 315
2.010928 20 320
2.01364 20 329
2.016284 20 337
2.018892 20 346
2.021869 20 343
2.027246 20 294
2.030149 20 302
2.033142 21 308
2.036644 21 303
2.040169 21 299
2.043533 21 299
2.046708 21 302
2.049553 21 310
2.052819 21 309
2.055955 21 311
2.059101 21 312
2.06232 21 312
2.066424 21 295
2.069577 21 299
2.072742 21 302
2.076012 21 303
2.079125 21 306
2.082583 21 303
2.086285 21 295
2.089453 21 299
2.092441 21 306
2.09551 21 309
2.098447 21 315
2.101798 21 311
2.105528 21 302
2.108847 21 301
2.111853 21 307
2.115117 21 307
2.1179 21 316
2.121107 21 315
2.124705 21 307
2.127886 21 308
2.131086 21 309
2.136077 22 279
2.140624 22 264
2.144183 22 267
2.147425 22 275
2.157301 22 204
2.160435 22 220
2.164648 22 223
2.167979 22 235
2.170929 22 251
2.174191 22 260
2.177085 22 273
2.180219 22 281
2.183611 22 284
2.186769 22 290
2.190188 22 290
2.193361 22 295
2.196345 22 302
2.199156 22 311
2.201968 22 319
2.205217 22 317
2.207826 22 328
2.210494 22 336
2.213417 22 337
2.21618 22 342
2.219146 22 341
2.221707 22 350
2.22512 22 337
2.230013 22 298
2.232875 22 307
2.235875 23 312
2.238869 23 316
2.241766 23 321
2.245173 23 315
2.248082 23 320
2.251037 23 324
2.253712 23 333
2.256663 23 334
2.259474 23 338
2.262243 23 342
2.265645 23 331
2.268564 23 333
2.271507 23 334
2.274298 23 339
2.277573 23 331
2.280475 23 334
2.284122 23 320
2.289421 23 281
2.294241 23 262
2.296926 23 278
2.299788 23 290
2.302465 23 304
2.3057 23 305
2.308319 23 317
2.311205 23 323
2.313872 23 332
2.3166 23 338
2.319548 23 338
2.322279 23 343
2.325612 23 334
2.328448 23 337
2.331259 23 341
2.334327 23 338
2.337197 24 340
2.340093 24 341
2.343377 24 333
2.348764 24 287
2.352268 24 287
2.355059 24 298
2.357849 24 309
2.360989 24 310
2.364428 24 306
2.367477 24 310
2.370309 24 318
2.373235 24 322
2.376173 24 326
2.379425 24 322
2.382503 24 322
2.386283 24 309
2.389133 24 316
2.391778 24 327
2.394563 24 333
2.39739 24 337
2.400221 24 340
2.403941 24 323
2.407082 24 322
2.409983 24 326
2.413172 24 323
2.416286 24 323
2.419355 24 323
2.422363 24 325
2.425982 24 314
2.431446 24 274
2.434853 24 278
2.440651 25 247
2.446085 25 231
2.44901 25 247
2.452312 25 257
2.45536 25 268
2.458523 25 277
2.461716 25 283
2.465222 25 283
2.46801 25 296
2.47085 25 305
2.473796 25 312
2.476698 25 318
2.479579 25 323
