t n fps
3.716653 36 68
3.721208 36 79
3.740422 37 71
3.756472 37 69
3.759358 37 82
3.761748 37 98
3.777676 37 88
3.78051 37 104
3.794794 37 94
3.797626 37 111
3.800372 37 129
3.815078 37 109
3.817993 37 126
3.82049 37 146
3.836365 37 115
3.838872 38 135
3.841109 38 157
3.855835 38 124
3.858155 38 145
3.860734 38 165
3.879144 38 117
3.886005 38 122
3.918188 38 77
3.948631 38 60
3.98713 39 47
4.02085 39 42
4.060246 39 37
4.098999 40 34
4.125286 40 35
4.166207 40 32
4.209318 41 29
4.251021 41 28
4.291888 41 27
4.332597 42 26
4.372231 42 26
4.40529 42 27
4.443772 43 26
4.479546 43 27
4.495177 43 30
4.509545 43 34
4.52654 44 37
4.543531 44 40
4.564472 44 41
4.582648 44 43
4.600772 44 45
4.62796 44 43
4.653126 45 42
4.681647 45 41
4.715532 45 38
4.733531 45 40
4.750846 46 43
4.771894 46 43
4.792425 46 44
4.81223 46 45
4.830224 46 47
4.859964 46 43
4.881761 47 44
4.917499 47 39
4.937594 47 41
4.954629 47 43
4.976959 47 44
4.995687 48 45
5.013412 48 47
5.032905 48 48
5.052955 48 48
5.076591 48 47
5.102126 48 45
5.144039 49 38
5.187992 49 33
5.232834 49 30
5.307363 50 24
5.385361 50 20
5.45899 50 18
5.51463 50 18
5.563823 50 18
5.619819 50 18
5.661424 50 19
5.711671 50 19
5.743345 50 21
5.779959 50 22
5.799245 50 25
5.818226 50 28
5.83559 50 31
5.85525 50 33
5.875242 50 36
5.898958 50 37
5.921281 50 38
5.961888 50 34
6.003408 50 31
6.046263 50 29
6.086728 50 28
6.135215 50 26
6.176955 50 25
6.218544 50 25
6.257576 50 25
6.301113 50 24
6.365866 50 22
6.427216 50 20
6.487976 50 19
6.546824 50 19
6.605177 50 18
6.662315 50 18
6.718336 50 18
6.755429 50 19
6.792074 50 20
6.827293 50 21
6.860504 50 23
6.895625 50 24
6.920035 50 26
6.955103 50 26
6.973567 50 29
6.995788 50 31
7.013461 50 34
7.031497 50 37
7.049007 50 40
7.069626 50 41
7.092655 50 42
7.118245 50 41
7.141117 50 41
7.179716 50 37
7.200565 50 39
7.238786 50 35
7.258798 50 37
7.279642 50 39
7.300786 50 40
7.337636 50 37
7.361364 50 37
7.407472 50 33
7.450976 50 30
7.493484 50 28
7.531614 50 28
7.570223 50 27
7.607366 50 27
7.64748 50 26
7.686038 50 26
7.723849 50 26
7.762206 50 26
7.797789 50 26
7.819648 50 29
7.843271 50 31
7.881372 50 30
7.923261 50 28
7.961717 50 28
7.999322 50 27
8.022961 50 29
8.060836 50 29
