t com min rx ry rz
2.74 0.09267567 -0.2849081 82.28566 340.6187 345.3099
2.76 0.0961234 -0.3225483 79.87746 344.243 349.0647
2.78 0.1015875 -0.3475393 78.04606 346.121 350.9512
2.8 0.1085393 -0.3616987 76.75356 347.1411 351.9638
2.82 0.1163613 -0.3674607 75.9151 347.7876 352.6087
2.84 0.1250236 -0.3648972 75.53782 348.1171 352.9304
2.86 0.1340112 -0.356286 75.51908 348.2057 353.0862
2.88 0.143377 -0.3408841 75.90739 348.2596 353.215
2.9 0.1529068 -0.3192643 76.66285 347.857 352.9023
2.92 0.1622674 -0.2924584 77.74105 347.2041 352.32
2.94 0.17063 -0.262755 79.04366 346.2402 351.4343
2.96 0.1779806 -0.229924 80.57923 344.899 350.1613
2.98 0.1840082 -0.1947678 82.30323 342.6915 348.0499
3 0.1881216 -0.1591066 84.12627 338.9071 344.3436
3.02 0.1899065 -0.1237623 85.99225 331.3654 336.88
3.04 0.1893386 -0.09002233 87.69522 311.7281 317.3168
3.06 0.1866988 -0.06778514 88.41625 254.7978 260.4641
3.08 0.1821615 -0.1041551 87.3802 211.0974 216.8476
3.1 0.1759449 -0.1387187 85.93731 197.0133 202.8445
3.12 0.1685514 -0.1702556 84.60497 191.082 196.998
3.14 0.1601843 -0.1983579 83.4798 188.0478 194.0468
3.16 0.1512647 -0.2220305 82.61919 186.5374 192.6064
3.18 0.1420694 -0.2411195 82.03181 185.858 191.9834
3.2 0.1332615 -0.2538085 81.79723 185.6732 191.8672
3.22 0.1242694 -0.2625051 81.8112 185.7695 191.9997
3.24 0.1154384 -0.2666621 82.08331 186.209 192.4723
3.26 0.1073201 -0.2656735 82.62063 186.8987 193.1624
3.28 0.1002071 -0.2605059 83.34512 187.8279 194.1002
3.3 0.09366538 -0.2530087 84.15283 189.6216 195.9074
3.32 0.0883359 -0.2430744 85.01961 192.1557 198.4479
3.34 0.0846063 -0.2302903 85.94483 195.8167 202.0986
3.36 0.08263065 -0.2155198 86.82627 202.5188 208.7665
3.38 0.08223013 -0.1973298 87.70953 215.6476 221.8756
3.4 0.08296273 -0.178057 88.36613 240.8594 247.0449
3.42 0.08487488 -0.1710873 88.47993 277.0419 283.1821
3.44 0.08781168 -0.1823723 88.13512 302.5222 308.6289
3.46 0.09155091 -0.1908684 87.63943 316.326 322.3924
3.48 0.09652232 -0.1956427 87.1752 323.4658 329.511
3.5 0.1018134 -0.1976337 86.81402 327.6935 333.7181
3.52 0.107586 -0.1969432 86.55372 330.1465 336.151
3.54 0.1131498 -0.195466 86.34259 331.9689 337.947
3.56 0.1186297 -0.1922098 86.22748 332.9347 338.8924
3.58 0.123496 -0.187966 86.19523 333.1895 339.1495
3.6 0.1276678 -0.1818855 86.30382 332.792 338.7236
3.62 0.1311024 -0.1742762 86.53062 331.451 337.3147
3.64 0.1335828 -0.1657239 86.85315 329.0334 334.8323
3.66 0.1353735 -0.1565154 87.22632 324.9135 330.6506
3.68 0.1362072 -0.1478966 87.59972 319.3631 325.0368
3.7 0.1363335 -0.1390068 87.98511 310.8749 316.4738
3.72 0.1356414 -0.1305577 88.33212 298.5336 304.0658
3.74 0.1341269 -0.1236385 88.55125 282.6102 288.0724
3.76 0.1318998 -0.1186907 88.6337 263.019 268.4103
3.78 0.1289885 -0.1298462 88.52994 244.3384 249.6623
3.8 0.1257172 -0.1399344 88.35266 231.4973 236.7695
3.82 0.1222255 -0.1492512 88.14839 222.8043 228.0353
3.84 0.1185749 -0.1573817 87.96539 217.4665 222.6541
3.86 0.1153359 -0.163334 87.85561 214.4134 219.5718
3.88 0.1121907 -0.1679862 87.78982 212.9418 218.0694
3.9 0.1092169 -0.1711321 87.77508 213.0283 218.1392
3.92 0.1064491 -0.1730801 87.79975 214.1875 219.2924
3.94 0.1037735 -0.1745453 87.84723 215.5733 220.6674
3.96 0.1014658 -0.1751818 87.91034 217.5871 222.664
3.98 0.09960846 -0.1741557 88.03278 220.7711 225.8494
4 0.09814917 -0.1723486 88.15443 225.1093 230.1752
4.02 0.09716477 -0.1691716 88.27728 231.7882 236.8298
4.04 0.09659039 -0.1657541 88.38359 238.809 243.8203
4.06 0.09599115 -0.1622596 88.47556 246.7601 251.733
4.08 0.09645098 -0.1573696 88.56441 256.1207 261.047
4.1 0.09728704 -0.1526635 88.60802 265.1536 270.0564
4.12 0.09832423 -0.1553771 88.61224 274.0966 278.9637
4.14 0.09976097 -0.157348 88.59458 282.188 287.0311
4.16 0.1013887 -0.1579357 88.55193 287.0424 291.8414
4.18 0.1034047 -0.1578565 88.51906 291.2879 296.0346
4.2 0.1051981 -0.1576009 88.48561 294.4904 299.1751
4.22 0.1069858 -0.1566918 88.47056 296.4156 301.0438
4.24 0.1090436 -0.1556446 88.43002 298.0571 302.6494
4.26 0.1108293 -0.1536409 88.4176 297.2652 301.8317
4.28 0.1121317 -0.1514917 88.42966 295.4958 300.0315
4.3 0.1131543 -0.1493871 88.44066 293.1546 297.6637
4.32 0.1138565 -0.1477015 88.46647 291.3111 295.8006
4.34 0.1140832 -0.1460539 88.52369 288.8967 293.3672
4.36 0.1140675 -0.1449555 88.54814 286.5805 291.0527
4.38 0.1136466 -0.1434867 88.58266 282.4576 286.9444
4.4 0.1130953 -0.1429055 88.59528 279.8429 284.3478
4.42 0.1121755 -0.1421253 88.61634 275.9007 280.4333
4.44 0.1110076 -0.1410433 88.64882 270.5986 275.1573
4.46 0.1098402 -0.1401658 88.66558 265.2438 269.8184
4.48 0.1086474 -0.1435184 88.6897 259.7851 264.4018
4.5 0.1074103 -0.1470602 88.68404 253.969 258.6087
4.52 0.1061741 -0.1506678 88.69284 247.7155 252.3787
4.54 0.1051491 -0.1537318 88.67574 242.5459 247.2239
4.56 0.104128 -0.1558884 88.65797 239.7955 244.4917
4.58 0.1032412 -0.1580398 88.62884 236.9694 241.6812
4.6 0.1027634 -0.1591974 88.6337 234.9595 239.6989
4.62 0.1025182 -0.1599199 88.63485 233.5492 238.332
4.64 0.1023998 -0.1605174 88.63298 232.1799 237.0166
4.66 0.1024268 -0.1598015 88.66074 233.391 238.2616
4.68 0.1024648 -0.1591983 88.67662 234.5654 239.472
4.7 0.1021856 -0.1581532 88.7076 237.606 242.5363
4.72 0.1019246 -0.1561089 88.74134 243.4136 248.3782
4.74 0.1017095 -0.1534972 88.78036 250.7041 255.6814
4.76 0.1009085 -0.1517834 88.78808 257.5576 262.5348
4.78 0.1002919 -0.15048 88.80334 262.7527 267.7326
4.8 0.1000879 -0.1499913 88.81354 265.3704 270.3668
4.82 0.1003389 -0.1497697 88.8009 265.4382 270.447
4.84 0.1009688 -0.149765 88.79293 267.1254 272.1457
4.86 0.1014678 -0.1496705 88.79261 268.2227 273.2471
4.88 0.1018821 -0.149156 88.78727 267.9404 272.9615
4.9 0.1023078 -0.1489257 88.7818 268.4547 273.4774
4.92 0.1027141 -0.1481631 88.78036 267.5012 272.5138
4.94 0.103489 -0.1474149 88.75699 267.5482 272.5432
4.96 0.104172 -0.1458884 88.73282 265.3281 270.3141
4.98 0.1048786 -0.145817 88.72636 263.059 268.0475
5 0.1057519 -0.1453283 88.71976 262.0946 267.0689
