t com min rx ry rz
3.2 -0.0213088 -0.2844147 89.24801 0.0003727334 0.0003630738
3.22 -0.0171953 -0.2812303 89.19449 9.010413E-05 8.165198E-05
3.24 -0.01224163 -0.2766085 89.17528 4.829789E-06 -4.829789E-06
3.26 -0.006576065 -0.2706688 89.1911 0.0001770845 0.00016501
3.28 -0.0003425814 -0.2635682 89.24101 4.829773E-06 -4.829773E-06
3.3 0.006304185 -0.2555027 89.32304 0.000618715 0.0006066407
3.32 0.01320397 -0.2467015 89.43248 0.0004918146 0.0004821552
3.34 0.02019573 -0.2374176 89.56389 0.0004807687 0.000469902
3.36 0.02712197 -0.2279179 89.71128 4.829702E-06 -4.829702E-06
3.38 0.03383255 -0.2184708 89.86877 -0.00104221 -0.001054284
3.4 0.04018775 -0.2102872 89.97202 7.246231E-06 0
3.42 0.04606061 -0.2071139 89.8187 180.0011 180.0011
3.44 0.05133867 -0.2043476 89.67435 180.0009 180.0008
3.46 0.05592495 -0.2019912 89.5463 179.9999 179.9998
3.48 0.05973855 -0.2000457 89.43942 180.0004 180.0004
3.5 0.06271479 -0.1985134 89.35593 180 180
3.52 0.06480511 -0.1973972 89.30031 180.0002 180.0002
3.54 0.06597684 -0.1967007 89.27288 180 180
3.56 0.06621293 -0.1964292 89.27449 180.0001 180.0001
3.58 0.0655117 -0.1965878 89.3062 180.0001 180.0001
3.6 0.06388912 -0.197184 89.3648 180.0004 180.0004
3.62 0.0613845 -0.1982245 89.44999 180.0006 180.0006
3.64 0.0580596 -0.1997131 89.55413 180.0011 180.0011
3.66 0.05399671 -0.2016486 89.67736 180.0004 180.0004
3.68 0.04929594 -0.2040246 89.81026 180.0007 180.0007
3.7 0.04407205 -0.2068268 89.94766 1.691146E-05 0
3.72 0.03845074 -0.2130658 89.91377 1.447804E-05 0
3.74 0.03256488 -0.2212583 89.78239 9.659399E-06 -9.659399E-06
3.76 0.02655058 -0.229378 89.66023 9.659347E-06 -9.659347E-06
3.78 0.02054358 -0.2372074 89.55545 0.0003197145 0.0003028105
3.8 0.01467583 -0.2445451 89.4714 0.0001398488 0.0001217373
3.82 0.009072634 -0.2512127 89.4105 0.0002429349 0.0002260308
3.84 0.003850172 -0.2570568 89.37443 0.0002295564 0.0002126524
3.86 -0.0008863956 -0.2619511 89.36604 0.0001180292 9.991773E-05
3.88 -0.005044427 -0.2657999 89.38325 0.0002326745 0.0002157705
3.9 -0.008544842 -0.2685381 89.42734 0.0004923565 0.0004730376
3.92 -0.01132284 -0.2701373 89.49526 0.0005569867 0.0005376678
3.94 -0.01332833 -0.2706031 89.58316 0.0003425163 0.0003207827
3.96 -0.01452621 -0.2699725 89.6891 0.000674926 0.0006543999
3.98 -0.01489646 -0.2683095 89.80416 0.001779598 0.001756658
4 -0.0144341 -0.2657009 89.93147 3.378632E-05 0
4.02 -0.01315018 -0.2640491 89.95576 4.107069E-05 0
4.04 -0.01107665 -0.2640668 89.82868 179.9936 179.9935
4.06 -0.008265981 -0.2631865 89.71954 179.9961 179.9961
4.08 -0.004789331 -0.2614034 89.62103 179.9967 179.9967
4.1 -0.0007340889 -0.2587391 89.54072 179.9969 179.9968
4.12 0.003799132 -0.2552435 89.48149 179.9973 179.9973
4.14 0.008699792 -0.2509899 89.44468 179.9977 179.9976
4.16 0.01385088 -0.2460733 89.43076 179.9977 179.9977
4.18 0.01913234 -0.240608 89.44152 179.998 179.998
4.2 0.02442431 -0.234723 89.47549 179.9977 179.9976
4.22 0.02961004 -0.2285639 89.53145 179.9974 179.9973
4.24 0.03457844 -0.2222879 89.60683 179.9963 179.9963
4.26 0.03922627 -0.2160589 89.6974 179.9959 179.9959
4.28 0.04345982 -0.2100439 89.80022 179.9942 179.9941
4.3 0.04719628 -0.2044047 89.91153 3.866835E-05 0
4.32 0.05036466 -0.1999765 90 3.86308E-05 0
4.34 0.05290648 -0.1993334 89.87489 0.009171386 0.009153276
4.36 0.05477614 -0.1992421 89.77186 0.00571699 0.005696464
4.38 0.05594109 -0.199666 89.68041 0.003884373 0.003862639
4.4 0.05638193 -0.2005656 89.6014 0.003482604 0.003463285
4.42 0.0560923 -0.2018978 89.54243 0.002575482 0.002557371
4.44 0.05507922 -0.2036187 89.5015 0.001949787 0.001932883
4.46 0.05336681 -0.2056802 89.48149 0.002408039 0.002391135
4.48 0.05099652 -0.2080284 89.48262 0.002280894 0.002262782
4.5 0.04802591 -0.2106068 89.50505 0.002523313 0.002506409
4.52 0.04452685 -0.2133602 89.54846 0.002916131 0.002895605
4.54 0.04058338 -0.2162368 89.60933 0.003368729 0.003353032
4.56 0.03628915 -0.2191904 89.68722 0.005075074 0.005054548
4.58 0.03174472 -0.2221797 89.77707 0.006774344 0.00675744
4.6 0.02705484 -0.2251689 89.87333 0.01358184 0.01356372
4.62 0.02232559 -0.2281257 89.98022 4.345726E-05 0
4.64 0.01766186 -0.2336543 89.92867 4.349569E-05 0
4.66 0.01316488 -0.2398383 89.82983 179.9892 179.9892
4.68 0.008930117 -0.2456106 89.73981 179.9939 179.9939
4.7 0.005045455 -0.2508223 89.6637 179.9947 179.9947
4.72 0.001589729 -0.2553428 89.60287 179.9958 179.9958
4.74 -0.001368473 -0.2590638 89.55853 179.9964 179.9964
4.76 -0.003771674 -0.2618997 89.53396 179.9966 179.9966
4.78 -0.005574151 -0.2637901 89.52937 179.9963 179.9963
4.8 -0.006742355 -0.2646993 89.54415 179.9965 179.9965
4.82 -0.007255158 -0.2646178 89.57896 179.9962 179.9962
4.84 -0.007103969 -0.2635649 89.62991 179.9961 179.9961
4.86 -0.006292829 -0.2615855 89.69804 179.9954 179.9954
4.88 -0.004841252 -0.2587529 89.77618 179.9935 179.9935
4.9 -0.00278496 -0.255165 89.86438 179.9904 179.9904
4.92 -0.0001747487 -0.2509401 89.96043 4.106794E-05 0
4.94 0.002925148 -0.2479369 89.94766 4.344834E-05 0
4.96 0.006439129 -0.2459927 89.86152 0.008946946 0.008925213
4.98 0.01028259 -0.2435962 89.77883 0.005611859 0.005590125
5 0.01436448 -0.2407806 89.70525 0.003998433 0.003975492
